,raceId,driverId,constructorId,grid,positionOrder,statusId,year,constructorPower,constructorForm,driverPerformance
53,20,20,5,19,\N,5,2008.0,1.1276580727581926,0.9797621139807148,3.3443162981657046
54,20,19,8,21,16,11,2008.0,0.8505550881170205,0.6232802959048005,0.9687293061514641
55,20,11,8,22,17,11,2008.0,0.8505550881170205,0.6232802959048005,1.7715610000000008
56,21,8,6,1,1,1,2008.0,5.000164300340007,5.000164300340007,0.9090909090909092
57,21,13,6,3,2,1,2008.0,5.000164300340007,5.000164300340007,0.3979886713257443
58,21,1,1,5,3,1,2008.0,0.6232802959048005,2.273518167203879,1.2893787064875994
59,21,5,1,6,\N,3,2008.0,0.6232802959048005,2.273518167203879,0.7513148009015774
60,21,9,2,4,4,1,2008.0,3.0562390832933315,3.0562390832933315,1.3310000000000006
61,21,2,2,9,9,1,2008.0,3.0562390832933315,3.0562390832933315,0.6616551507079189
62,21,17,9,7,5,1,2008.0,1.5268514086339717,1.3043673819053694,0.5644739300537771
63,21,14,9,17,12,11,2008.0,1.5268514086339717,1.3043673819053694,0.2990147793581849
64,21,18,11,13,6,1,2008.0,0.9797621139807148,0.9797621139807148,1.0322801154563674
65,21,22,11,11,\N,4,2008.0,0.9797621139807148,0.9797621139807148,0.7755673294187581
66,21,6,3,12,7,1,2008.0,1.8268815547508408,1.8268815547508408,1.2690587062858836
67,21,3,3,15,\N,5,2008.0,1.8268815547508408,1.8268815547508408,0.7879856109467703
68,21,15,7,8,8,1,2008.0,1.3043673819053694,1.5268514086339717,1.3310000000000004
69,21,10,7,14,11,11,2008.0,1.3043673819053694,1.5268514086339717,1.4994048521885366
70,21,21,10,19,10,11,2008.0,1.5268514086339717,0.7333619496011154,2.0438317370604797
71,21,16,10,20,\N,4,2008.0,1.5268514086339717,0.7333619496011154,1.239177563792179
72,21,11,8,22,13,11,2008.0,0.8505550881170205,0.6232802959048005,0.6358940267893057
73,21,19,8,21,\N,21,2008.0,0.8505550881170205,0.6232802959048005,2.4730364018431805
74,21,4,4,2,\N,5,2008.0,2.273518167203879,1.1276580727581926,0.6669312817951712
75,21,12,4,10,\N,4,2008.0,2.273518167203879,1.1276580727581926,2.0438317370604797
76,21,7,5,16,\N,4,2008.0,1.1276580727581926,0.8505550881170205,0.4043612133063183
77,21,20,5,18,\N,4,2008.0,1.1276580727581926,0.8505550881170205,0.4892770681006451
78,22,13,6,1,1,1,2008.0,5.000164300340007,5.000164300340007,1.3630953201713971
79,22,8,6,4,3,1,2008.0,5.000164300340007,5.000164300340007,1.5725890759645955
80,22,1,1,3,2,1,2008.0,0.6232802959048005,2.273518167203879,3.3709843459659488
81,22,5,1,2,12,11,2008.0,0.6232802959048005,2.273518167203879,0.8069868509721573
82,22,9,2,5,4,1,2008.0,3.0562390832933315,3.0562390832933315,0.7513148009015775
83,22,2,2,9,5,1,2008.0,3.0562390832933315,3.0562390832933315,0.7336244099746885
84,22,4,4,7,6,1,2008.0,2.273518167203879,1.1276580727581926,1.3630953201713971
85,22,12,4,17,15,11,2008.0,2.273518167203879,1.1276580727581926,0.29664925652849683
86,22,17,9,6,7,1,2008.0,1.5268514086339717,1.5268514086339717,0.4892770681006451
87,22,14,9,10,9,1,2008.0,1.5268514086339717,1.5268514086339717,0.7336244099746885
88,22,3,3,11,8,1,2008.0,1.8268815547508408,1.8268815547508408,0.9090909090909092
89,22,6,3,16,\N,4,2008.0,1.8268815547508408,1.8268815547508408,1.4922764236711419
90,22,15,7,8,10,1,2008.0,1.3043673819053694,1.3043673819053694,1.1
91,22,10,7,15,13,11,2008.0,1.3043673819053694,1.3043673819053694,1.520995099135806
92,22,18,11,13,11,11,2008.0,0.9797621139807148,0.9797621139807148,0.6574643143611553
93,22,22,11,12,14,11,2008.0,0.9797621139807148,0.9797621139807148,3.7974983358324144
94,22,16,10,19,16,11,2008.0,1.5268514086339717,0.7333619496011154,1.9862199199062909
95,22,21,10,20,\N,4,2008.0,1.5268514086339717,0.7333619496011154,1.9487171000000008
96,22,20,5,14,17,11,2008.0,1.1276580727581926,0.8505550881170205,0.5034689210282312
97,22,7,5,18,\N,22,2008.0,1.1276580727581926,0.8505550881170205,2.4967196396556868
98,23,1,1,3,1,1,2008.0,0.6232802959048005,3.0562390832933315,1.2332863005546626
99,23,5,1,4,8,1,2008.0,0.6232802959048005,3.0562390832933315,0.6701171338885759
100,23,9,2,5,2,1,2008.0,3.0562390832933315,2.273518167203879,0.40052554724883177
101,23,2,2,12,14,14,2008.0,3.0562390832933315,2.273518167203879,0.8108417320051771
102,23,13,6,1,3,1,2008.0,5.000164300340007,5.000164300340007,0.2633312543060797
103,23,8,6,2,9,1,2008.0,5.000164300340007,5.000164300340007,0.597694831237414
104,23,17,9,9,4,1,2008.0,1.5268514086339717,1.5268514086339717,0.8585620812017226
105,23,14,9,15,\N,3,2008.0,1.5268514086339717,1.5268514086339717,1.1647381382139632
106,23,20,5,19,5,1,2008.0,1.1276580727581926,0.9797621139807148,0.5131581182307066
107,23,7,5,16,\N,4,2008.0,1.1276580727581926,0.9797621139807148,1.6730946090493863
108,23,22,11,14,6,1,2008.0,0.9797621139807148,0.8505550881170205,1.5851291220932973
