,raceId,driverId,constructorId,grid,positionOrder,statusId,constructorForm,year,constructorPower
1856,108,31,3,3,2,1,3.0562390832933315,2003.0,3.0562390832933315
1857,108,23,3,9,8,1,3.0562390832933315,2003.0,3.0562390832933315
1858,108,30,6,1,4,1,1.8268815547508408,2003.0,5.000164300340007
1859,108,22,6,2,\N,3,1.8268815547508408,2003.0,5.000164300340007
1860,108,15,4,12,5,1,2.273518167203879,2003.0,1.8268815547508408
1861,108,4,4,10,7,1,2.273518167203879,2003.0,1.8268815547508408
1862,108,49,15,4,6,1,1.5268514086339717,2003.0,1.5268514086339717
1863,108,2,15,7,\N,22,1.5268514086339717,2003.0,1.5268514086339717
1864,108,35,16,6,9,1,1.3043673819053694,2003.0,0.9797621139807148
1865,108,18,16,8,10,1,1.3043673819053694,2003.0,0.9797621139807148
1866,108,50,18,20,11,11,1.1276580727581926,2003.0,0.8505550881170205
1867,108,51,18,19,\N,21,1.1276580727581926,2003.0,0.8505550881170205
1868,109,8,1,7,1,1,5.000164300340007,2003.0,2.273518167203879
1869,109,14,1,4,\N,10,5.000164300340007,2003.0,2.273518167203879
1870,109,22,6,5,2,1,3.0562390832933315,2003.0,5.000164300340007
1871,109,30,6,3,6,11,3.0562390832933315,2003.0,5.000164300340007
1872,109,4,4,1,3,1,2.273518167203879,2003.0,1.8268815547508408
1873,109,15,4,2,5,11,2.273518167203879,2003.0,1.8268815547508408
1874,109,23,3,17,4,1,1.8268815547508408,2003.0,3.0562390832933315
1875,109,31,3,8,12,13,1.8268815547508408,2003.0,3.0562390832933315
1876,109,18,16,9,7,11,1.3043673819053694,2003.0,0.9797621139807148
1877,109,35,16,12,\N,10,1.3043673819053694,2003.0,0.9797621139807148
1878,109,2,15,6,8,11,1.5268514086339717,2003.0,1.5268514086339717
1879,109,49,15,13,9,11,1.5268514086339717,2003.0,1.5268514086339717
1880,109,52,17,20,10,11,1.1276580727581926,2003.0,1.3043673819053694
1881,109,21,17,14,\N,10,1.1276580727581926,2003.0,1.3043673819053694
1882,109,43,7,11,11,11,0.8505550881170205,2003.0,0.7333619496011154
1883,109,44,7,10,\N,32,0.8505550881170205,2003.0,0.7333619496011154
1884,109,50,18,18,13,14,0.9797621139807148,2003.0,0.8505550881170205
1885,109,51,18,19,\N,26,0.9797621139807148,2003.0,0.8505550881170205
1886,110,21,17,8,1,1,1.5268514086339717,2003.0,1.3043673819053694
1887,110,52,17,16,\N,22,1.5268514086339717,2003.0,1.3043673819053694
1888,110,8,1,4,2,1,5.000164300340007,2003.0,2.273518167203879
1889,110,14,1,2,4,1,5.000164300340007,2003.0,2.273518167203879
1890,110,4,4,10,3,1,3.0562390832933315,2003.0,1.8268815547508408
1891,110,15,4,5,8,1,3.0562390832933315,2003.0,1.8268815547508408
1892,110,49,15,14,5,1,1.3043673819053694,2003.0,1.5268514086339717
1893,110,2,15,12,\N,5,1.3043673819053694,2003.0,1.5268514086339717
1894,110,35,16,13,6,1,1.1276580727581926,2003.0,0.9797621139807148
1895,110,18,16,11,\N,3,1.1276580727581926,2003.0,0.9797621139807148
1896,110,23,3,6,7,1,1.8268815547508408,2003.0,3.0562390832933315
1897,110,31,3,9,\N,3,1.8268815547508408,2003.0,3.0562390832933315
