,raceId,driverId,constructorId,grid,position,statusId,constructorForm,driverPerformance
74,21,4,4,2,\N,5,1.1276580727581926,0.9667853144843358
75,21,12,4,10,\N,4,1.1276580727581926,0.5736231961167492
76,21,7,5,16,\N,4,0.8505550881170205,0.7962623078186398
77,21,20,5,18,\N,4,0.8505550881170205,0.675600119944917
78,22,13,6,1,1,1,5.000164300340007,0.7128140986174973
79,22,8,6,4,3,1,5.000164300340007,0.7502601055951177
80,22,1,1,3,2,1,2.273518167203879,0.8164197054934791
81,22,5,1,2,12,11,2.273518167203879,0.6615293869440106
82,22,9,2,5,4,1,3.0562390832933315,0.8206849672613876
83,22,2,2,9,5,1,3.0562390832933315,0.6586905520317935
84,22,4,4,7,6,1,1.1276580727581926,0.9780651231545899
85,22,12,4,17,15,11,1.1276580727581926,0.5654550108543672
86,22,17,9,6,7,1,1.5268514086339717,0.8793426489854267
87,22,14,9,10,9,1,1.5268514086339717,0.6232741935487417
88,22,3,3,11,8,1,1.8268815547508408,0.8753066872371988
89,22,6,3,16,\N,4,1.8268815547508408,0.6255465187983794
90,22,15,7,8,10,1,1.3043673819053694,0.9239115343283392
91,22,10,7,15,13,11,1.3043673819053694,0.5988139219348996
92,22,18,11,13,11,11,0.9797621139807148,0.7743932361010726
93,22,22,11,12,14,11,0.9797621139807148,0.6922888432792649
94,22,16,10,19,16,11,0.7333619496011154,0.6451287430390722
95,22,21,10,20,\N,4,0.7333619496011154,0.8419879768769337
96,22,20,5,14,17,11,0.8505550881170205,0.7023601443784966
97,22,7,5,18,\N,22,0.8505550881170205,0.762192592916327
98,23,1,1,3,1,1,3.0562390832933315,0.8299297006587704
99,23,5,1,4,8,1,3.0562390832933315,0.6526852172590858
100,23,9,2,5,2,1,2.273518167203879,0.8753066872371988
101,23,2,2,12,14,14,2.273518167203879,0.6255465187983794
102,23,13,6,1,3,1,5.000164300340007,0.7373577049192391
103,23,8,6,2,9,1,5.000164300340007,0.724866149113898
104,23,17,9,9,4,1,1.5268514086339717,0.9075611020698666
105,23,14,9,15,\N,3,1.5268514086339717,0.6077317193636416
106,23,20,5,19,5,1,0.9797621139807148,0.746997887542625
107,23,7,5,16,\N,4,0.9797621139807148,0.7157846549681294
108,23,22,11,14,6,1,0.8505550881170205,0.704076110794661
109,23,18,11,11,11,11,0.8505550881170205,0.7601842162825518
110,23,6,3,13,7,1,1.8268815547508408,0.6416873388911916
111,23,3,3,6,\N,3,1.8268815547508408,0.8476339536006019
112,23,4,4,7,10,11,1.1276580727581926,0.9817083546469608
113,23,12,4,17,\N,3,1.1276580727581926,0.5624414463583824
114,23,10,7,10,12,11,1.3043673819053694,0.6110954845128711
115,23,15,7,8,13,11,1.3043673819053694,0.9013916678705939
116,23,16,10,18,\N,4,0.7333619496011154,0.6668449974558049
117,23,21,10,20,\N,6,0.7333619496011154,0.8086135565880427
118,24,9,2,2,1,1,3.0562390832933315,0.8753066872371988
119,24,2,2,8,2,1,3.0562390832933315,0.6255465187983794
120,24,14,9,13,3,1,1.8268815547508408,0.6305444438417357
121,24,17,9,10,12,1,1.8268815547508408,0.8665417072371514
