,raceId,driverId,constructorId,grid,currentStanding
337,35,15,7,2,9
338,35,17,9,12,11
339,35,14,9,14,16
340,35,2,2,8,6
341,35,9,2,13,4
342,35,3,3,18,13
343,35,6,3,16,15
344,35,18,11,17,18
345,35,22,11,15,14
346,35,16,10,20,20
347,35,21,10,19,19
348,36,8,6,1,1
349,36,13,6,22,6
350,36,4,1,2,2
351,36,1,1,4,3
352,36,2,2,3,4
353,36,21,4,6,5
354,36,5,4,13,10
355,36,3,3,12,7
356,36,23,7,9,8
357,36,15,7,8,9
358,36,22,11,16,11
359,36,18,11,14,15
360,36,11,8,10,12
361,36,19,8,11,16
362,36,17,9,7,13
363,36,24,5,19,14
364,36,16,12,20,17
365,37,4,1,2,1
366,37,1,1,4,3
367,37,8,6,3,2
368,37,13,6,1,6
369,37,2,2,5,4
370,37,9,2,7,20
371,37,21,4,12,5
372,37,5,4,11,9
373,37,15,7,8,7
374,37,23,7,9,10
375,37,25,3,19,11
376,37,3,3,6,8
377,37,17,9,10,12
378,37,22,11,22,13
379,37,18,11,15,15
380,37,11,8,14,14
381,37,19,8,18,18
382,37,26,5,17,17
383,37,24,5,16,16
384,37,16,12,21,19
385,38,13,6,1,4
386,38,8,6,3,2
387,38,1,1,2,3
388,38,4,1,4,1
389,38,2,2,5,5
390,38,9,2,6,8
391,38,15,7,9,7
392,38,23,7,14,11
393,38,21,4,7,6
394,38,5,4,12,10
395,38,3,3,10,9
396,38,25,3,11,12
397,38,22,11,15,14
398,38,18,11,16,16
399,38,27,12,22,18
400,38,16,12,20,20
401,38,19,8,13,21
402,38,11,8,17,15
403,38,17,9,8,13
404,38,24,5,18,17
405,38,26,5,19,19
406,39,13,6,1,3
407,39,8,6,3,4
408,39,1,1,4,1
409,39,4,1,2,2
410,39,9,2,5,6
411,39,2,2,7,5
412,39,14,9,9,9
413,39,17,9,19,16
414,39,3,3,11,8
415,39,25,3,18,14
416,39,5,4,8,11
417,39,21,4,10,7
418,39,11,8,13,12
419,39,19,8,15,17
420,39,22,11,12,15
421,39,18,11,14,18
422,39,16,12,20,19
423,39,27,12,21,20
424,39,23,7,17,13
425,39,15,7,6,10
426,39,24,5,16,21
427,39,26,5,22,22
428,40,4,1,1,1
429,40,1,1,2,2
430,40,13,6,3,3
431,40,8,6,16,4
432,40,21,4,4,6
433,40,5,4,15,11
434,40,9,2,8,7
435,40,2,2,7,5
436,40,25,3,11,12
437,40,3,3,5,8
438,40,26,5,18,15
439,40,24,5,12,22
440,40,22,11,9,16
441,40,18,11,10,18
442,40,14,9,13,9
443,40,17,9,6,17
444,40,15,7,14,10
445,40,23,7,20,14
446,40,11,8,21,13
447,40,19,8,17,19
448,40,27,12,22,21
449,40,16,12,19,20
450,41,1,1,1,1
451,41,4,1,2,2
452,41,2,2,3,5
453,41,9,2,8,7
454,41,25,3,19,8
455,41,3,3,7,10
456,41,5,4,22,9
457,41,21,4,9,6
458,41,8,6,4,4
459,41,13,6,5,3
460,41,11,8,11,12
461,41,19,8,17,18
462,41,23,7,18,14
463,41,15,7,10,13
464,41,17,9,6,15
465,41,14,9,14,11
466,41,22,11,13,17
467,41,18,11,15,19
468,41,24,5,12,22
469,41,26,5,16,16
470,41,27,12,21,21
471,41,16,12,20,20
472,42,1,1,1,1
473,42,4,1,2,2
474,42,13,6,3,3
475,42,8,6,4,4
476,42,5,4,6,8
477,42,21,4,10,6
478,42,15,7,8,10
479,42,23,7,12,15
480,42,17,9,9,14
481,42,14,9,11,12
482,42,20,2,7,16
483,42,2,2,5,5
484,42,25,3,17,9
485,42,3,3,14,11
486,42,19,8,16,19
487,42,11,8,18,13
488,42,18,11,13,20
489,42,22,11,15,18
490,42,26,5,20,17
491,42,24,5,19,23
492,42,16,12,21,21
493,42,27,12,22,22
494,43,8,6,3,4
495,43,13,6,1,3
496,43,1,1,2,1
497,43,4,1,10,2
498,43,9,2,4,6
499,43,2,2,7,5
500,43,21,4,5,7
501,43,5,4,6,8
502,43,18,11,12,16
503,43,22,11,13,19
504,43,3,3,9,11
505,43,25,3,18,9
506,43,23,7,11,15
507,43,15,7,8,10
508,43,17,9,14,14
509,43,14,9,16,12
510,43,11,8,22,13
511,43,19,8,19,20
512,43,16,12,21,21
513,43,27,12,20,22
514,43,26,5,15,18
515,43,24,5,17,23
516,44,8,6,2,3
517,44,13,6,4,4
518,44,4,1,3,2
519,44,1,1,1,1
520,44,9,2,5,6
521,44,2,2,9,5
522,44,5,4,7,8
523,44,21,4,8,7
524,44,22,11,14,18
